zip,longitude,latitude,station_count
98374,-122.271839625,47.12136385,4
98375,-122.31599833333333,47.104254166666664,3
98377,-121.95891,46.5358405,2
98382,-123.10208566666668,48.08207764666667,9
98383,-122.71605134545453,47.68393722818182,11
98385,-123.167882081794,48.0619280325713,1
98388,-122.5984377,47.1727264,1
98390,-122.18956075999999,47.29160604,5
98391,-122.145315,47.166509,1
98392,-122.57433753605368,47.7114978784376,3
98402,-122.44130973529413,47.25183232941177,17
98403,-122.46024645398835,47.268296628336,6
98404,-122.4190368,47.217009000000004,5
98405,-122.462091725,47.24720046,8
98406,-122.51065158799999,47.261585314,3
98407,-122.50339544997833,47.2841513335095,6
98408,-122.44958090066666,47.20497035266667,3
98409,-122.48163151315197,47.216916205064905,29
98418,-122.4390985,47.2234,2
98421,-122.43086055020065,47.2522264631915,12
98422,-122.42495249999999,47.302761000000004,2
98424,-122.37070983333332,47.240111066666664,3
98433,-122.5534965,47.1108095,2
98444,-122.43817544999999,47.180932049999996,2
98446,-122.3721404,47.10212595,2
98447,-122.43882966666666,47.14508966666667,3
98465,-122.5242,47.252148,1
98467,-122.5366188,47.2136054,1
98498,-122.558205,47.178664,2
98499,-122.5082744,47.166878600000004,5
98501,-122.89450201111111,47.034123522222224,27
98502,-122.88264690235295,47.07040219176471,17
98503,-122.82179969509092,47.03622728154546,11
98505,-122.976675,47.071917,1
98507,-122.857714,47.045574,1
98509,-122.825899,47.042017,1
98512,-122.89381533333334,46.990292333333336,3
98513,-122.7132043503816,47.01833546236243,2
98516,-122.78818735899999,47.05653371985714,7
98520,-123.81895627777777,46.97210041111111,9
98528,-122.8249895,47.45261375,2
98531,-122.93563759999999,46.7895768,5
98532,-122.90504510000001,46.5921236,10
98562,-124.2170595,47.240415999999996,2
98563,-123.6018506609589,46.97986984717392,1
98564,-122.49297266666667,46.537672333333326,3
98569,-124.16884711496,47.031108699405536,3
98571,-124.1980829153442,47.19404038977142,1
98575,-123.850735,47.465555,1
98579,-123.012272,46.801252000000005,2
98582,-122.63005849999999,46.531357,2
98584,-123.14211870547233,47.25830155098905,6
98590,-124.0206708,46.7250165,1
98592,-123.0676404,47.3471843,1
98595,-124.108594,46.859479,1
98597,-122.593947986,46.934055045,1
98604,-122.54220330224877,45.77014928259279,3
98605,-121.46967,45.71609,1
